N0582,N0816,N1594,N1882,N2550,N3375
0.086,0.04,0.327,0.577,0.533,0.202
0.093,0.048,0.453,0.579,0.399,0.162
0.096,0.291,0.446,0.572,0.586,0.32
0.065,0.22,0.426,0.138,0.676,0.324
0.064,0.197,1.747,0.195,0.504,0.417
0.061,0.245,0.873,0.606,0.4,0.274
0.07,0.251,0.537,0.606,0.476,0.373
0.098,0.108,0.539,0.729,0.607,0.499
0.097,0.37,0.397,0.695,0.657,0.512
0.154,0.266,0.389,0.724,0.577,0.604
0.14,0.274,0.379,0.615,0.703,0.55
0.139,0.379,0.405,0.604,0.66,0.496
0.137,0.407,0.361,0.196,0.591,0.549
0.177,0.292,0.372,0.087,0.533,0.454
0.171,0.276,0.382,0.288,0.47,0.415
0.172,0.285,0.345,0.279,0.473,0.366
0.165,0.274,0.334,0.114,0.354,0.401
0.173,0.291,0.186,0.07,0.349,0.324
0.171,0.302,0.152,0.069,0.346,0.358
0.148,0.255,0.167,0.068,0.356,0.291
0.098,0.116,0.145,0.115,0.461,0.085
0.102,0.109,0.19,0.157,0.351,0.08
0.1,0.108,0.151,0.07,0.352,0.063
0.099,0.107,0.144,0.073,0.343,0.076
0.098,0.107,0.18,0.077,0.347,0.048
0.148,0.077,0.147,0.101,0.357,0.086
0.162,0.066,0.168,0.13,0.376,0.042
0.161,0.1,0.153,0.162,0.391,0.084
0.161,0.106,0.147,0.11,0.179,0.05
0.246,0.096,0.167,0.07,0.13,0.102
0.227,0.08,0.168,0.068,0.129,0.13
0.168,0.081,0.198,0.068,0.128,0.118
0.369,0.285,0.181,0.069,0.161,0.319
0.244,0.191,0.174,0.121,0.152,0.133
0.222,0.05,0.199,0.14,0.146,0.195
0.118,0.053,0.4,0.072,0.244,0.433
0.08,0.091,0.761,0.287,0.249,0.422
0.03,0.111,0.416,0.918,0.248,0.321
0.031,0.107,0.71,0.31,0.248,0.227
0.035,0.106,0.464,0.505,0.302,0.339
0.035,0.101,0.3,0.202,0.175,0.345
0.041,0.062,0.446,0.11,0.171,0.303
0.068,0.04,0.372,0.07,0.169,0.273
0.036,0.062,0.295,0.07,0.174,0.235
0.025,0.081,0.343,0.703,0.183,0.473
0.035,0.081,0.558,1.242,0.232,0.443
0.032,0.083,0.314,0.754,0.21,0.32
0.063,0.095,0.388,0.674,0.2,0.421
0.044,0.067,0.269,0.578,0.178,0.325
0.025,0.088,0.244,0.485,0.178,0.29
0.035,0.091,0.225,0.125,0.181,0.291
0.025,0.306,0.24,0.123,0.227,0.316
0.065,0.582,0.471,0.203,0.532,0.402
0.035,0.237,0.44,0.43,0.392,0.348
0.033,0.269,0.446,0.62,0.556,1.18
0.026,0.245,0.464,0.645,0.612,1.489
0.035,0.286,0.513,0.745,0.656,1.641
0.058,0.319,0.377,0.649,0.652,0.623
0.035,0.288,0.475,0.642,0.684,0.595
0.231,0.292,0.485,0.69,0.574,0.558
0.173,0.306,0.394,0.676,0.61,0.464
0.159,0.449,0.419,0.629,0.562,0.366
0.235,0.265,0.383,0.354,0.531,0.319
0.128,0.517,1.061,0.222,0.511,0.465
0.144,0.235,0.608,0.147,0.551,0.3
0.128,0.203,0.786,0.136,0.398,0.255
0.175,0.114,0.329,0.137,0.378,0.048
0.188,0.09,0.159,0.071,0.531,0.089
