,iteration_1,iteration_2,iteration_3
batch_425,-0.0390625,-0.0234375,-0.03125
batch_426,-0.0234375,-0.09375,-0.0078125
batch_427,-0.109375,-0.0703125,-0.078125
batch_428,-0.0625,0.0625,-0.09375
batch_429,-0.171875,-0.1015625,-0.0703125
batch_430,-0.015625,-0.3046875,-0.09375
batch_431,-0.0390625,-0.0859375,-0.0625
batch_432,-0.1328125,-0.1796875,-0.046875
batch_433,-0.109375,-0.171875,-0.125
batch_434,-0.1171875,-0.125,-0.1171875
batch_435,-0.0078125,0.046875,-0.046875
batch_436,-0.109375,-0.0546875,-0.0390625
batch_437,-0.09375,-0.0625,-0.1171875
batch_438,-0.109375,-0.078125,-0.0859375
batch_439,0.0,0.015625,-0.0625
batch_440,-0.1640625,-0.03125,-0.140625
batch_441,-0.09375,-0.046875,0.0078125
batch_442,-0.03125,-0.046875,-0.1015625
batch_443,-0.046875,-0.0859375,-0.09375
batch_444,-0.0078125,-0.0703125,-0.09375
batch_445,-0.0234375,-0.0546875,-0.03125
batch_446,0.0546875,0.046875,-0.203125
batch_447,-0.0546875,-0.0703125,-0.03125
batch_448,-0.078125,-0.109375,0.0
batch_449,-0.0625,-0.0625,-0.0546875
batch_450,-0.0390625,-0.0859375,0.0
batch_451,-0.0234375,-0.0546875,-0.0390625
batch_452,-0.0703125,-0.0390625,-0.1875
batch_453,-0.046875,-0.0390625,-0.1875
batch_454,0.015625,-0.1015625,-0.015625
batch_455,-0.0859375,-0.1171875,-0.1171875
batch_456,-0.0390625,-0.078125,-0.09375
batch_457,-0.0546875,-0.0625,-0.09375
batch_458,-0.0390625,-0.109375,-0.0703125
batch_459,-0.0703125,-0.109375,0.0234375
batch_460,-0.171875,0.015625,-0.140625
batch_461,-0.0703125,0.0,-0.0234375
batch_462,0.015625,-0.1171875,-0.1953125
batch_463,-0.1171875,-0.125,-0.1171875
batch_464,-0.1796875,0.0078125,-0.0859375
batch_465,-0.078125,-0.15625,-0.0078125
batch_466,-0.0703125,-0.1484375,-0.109375
batch_467,-0.0703125,-0.296875,-0.140625
batch_468,-0.2265625,-0.140625,-0.15625
batch_469,-0.125,-0.21875,-0.2734375
batch_470,0.046875,-0.125,-0.1015625
batch_471,-0.046875,-0.1328125,0.015625
batch_472,-0.109375,-0.046875,-0.1484375
batch_473,0.0234375,-0.1171875,-0.0703125
batch_474,-0.1796875,-0.1015625,-0.15625
batch_475,-0.0546875,-0.125,0.015625
batch_476,-0.0625,-0.1484375,-0.09375
batch_477,-0.1015625,-0.046875,-0.0546875
batch_478,-0.109375,-0.046875,-0.046875
batch_479,-0.1171875,-0.09375,-0.046875
batch_480,-0.15625,-0.0859375,-0.1328125
batch_481,-0.0703125,0.0,0.015625
batch_482,-0.0546875,-0.0078125,-0.078125
batch_483,-0.046875,-0.03125,-0.0078125
batch_484,-0.015625,-0.109375,-0.0390625
batch_485,-0.0625,-0.0625,0.015625
batch_486,-0.046875,0.0,-0.0546875
batch_487,-0.09375,-0.109375,-0.140625
batch_488,-0.0625,-0.109375,-0.0546875
batch_489,-0.125,0.0078125,-0.03125
batch_490,-0.1484375,-0.0234375,-0.09375
batch_491,-0.0625,-0.015625,-0.125
batch_492,-0.03125,0.0234375,-0.1328125
batch_493,-0.03125,-0.0390625,-0.046875
batch_494,0.0234375,-0.0078125,0.0546875
batch_495,-0.0078125,0.0390625,-0.0078125
batch_496,0.0078125,0.046875,-0.0234375
batch_497,0.0078125,0.0,-0.03125
batch_498,-0.0390625,-0.03125,-0.0390625
batch_499,-0.125,-0.203125,-0.078125
batch_500,0.0,-0.0703125,-0.09375
batch_501,-0.0625,-0.078125,-0.0703125
batch_502,-0.15625,-0.1015625,-0.015625
batch_503,-0.0234375,0.0078125,-0.046875
batch_504,-0.109375,-0.0625,-0.125
batch_505,-0.1015625,-0.1484375,-0.0234375
batch_506,-0.1484375,-0.0625,-0.1640625
batch_507,0.0,0.0,-0.0625
batch_508,-0.046875,-0.15625,-0.0234375
batch_509,-0.078125,-0.0078125,-0.15625
batch_510,0.015625,0.015625,-0.1328125
batch_511,-0.0859375,-0.078125,-0.0859375
batch_512,-0.0625,0.0,-0.046875
batch_513,-0.0703125,-0.03125,-0.0859375
batch_514,-0.015625,0.0703125,-0.0703125
batch_515,-0.0625,-0.015625,0.0625
batch_516,-0.078125,-0.0703125,0.0703125
batch_517,-0.0625,0.046875,0.015625
batch_518,-0.015625,-0.046875,-0.0546875
batch_519,0.078125,-0.0625,-0.0703125
batch_520,0.078125,-0.015625,-0.09375
batch_521,-0.1015625,-0.0859375,0.015625
batch_522,-0.140625,-0.1171875,-0.046875
batch_523,-0.140625,-0.0625,-0.09375
batch_524,-0.046875,-0.109375,-0.109375
batch_525,-0.015625,-0.140625,-0.0625
batch_526,-0.046875,-0.046875,-0.03125
batch_527,-0.15625,-0.109375,-0.078125
batch_528,-0.0625,-0.09375,-0.0625
batch_529,-0.1484375,-0.078125,-0.109375
batch_530,-0.0625,-0.1953125,-0.078125
batch_531,-0.109375,0.046875,-0.0625
batch_532,-0.15625,-0.28125,-0.046875
batch_533,-0.078125,-0.1953125,-0.1171875
batch_534,-0.2421875,-0.046875,-0.1640625
batch_535,-0.1953125,-0.0390625,-0.0859375
batch_536,-0.234375,-0.1640625,-0.078125
batch_537,-0.1328125,-0.15625,-0.234375
batch_538,-0.0703125,-0.140625,-0.109375
batch_539,-0.3125,-0.0625,-0.4609375
batch_540,-0.140625,-0.1328125,-0.1171875
batch_541,-0.25,0.015625,-0.0703125
batch_542,-0.1328125,-0.109375,-0.21875
batch_543,-0.125,-0.171875,-0.0625
batch_544,-0.1796875,-0.09375,-0.0390625
batch_545,0.0703125,-0.125,-0.0703125
batch_546,0.0703125,0.0078125,0.0
batch_547,-0.0703125,-0.0234375,0.046875
batch_548,-0.328125,-0.0703125,-0.078125
batch_549,-0.2109375,-0.0234375,-0.03125
batch_550,-0.078125,-0.1328125,-0.34375
batch_551,-0.0625,-0.15625,-0.1796875
batch_552,-0.125,-0.015625,-0.09375
batch_553,-0.171875,-0.09375,-0.09375
batch_554,0.03125,-0.140625,-0.265625
batch_555,-0.140625,-0.0859375,-0.109375
batch_556,-0.1171875,-0.0078125,-0.078125
batch_557,-0.0625,-0.078125,0.0390625
batch_558,0.046875,-0.09375,-0.140625
batch_559,0.0625,-0.078125,-0.046875
batch_560,-0.125,0.1015625,-0.140625
batch_561,-0.1796875,-0.0078125,-0.234375
batch_562,-0.0390625,-0.0546875,-0.1171875
batch_563,-0.1171875,-0.203125,-0.1484375
batch_564,-0.0859375,0.0390625,-0.046875
batch_565,0.046875,-0.0234375,-0.09375
batch_566,-0.03125,-0.0234375,-0.0234375
batch_567,-0.03125,-0.1796875,-0.125
batch_568,-0.1171875,-0.09375,-0.125
batch_569,-0.046875,-0.0546875,-0.1640625
batch_570,-0.09375,-0.0078125,-0.046875
batch_571,-0.0390625,-0.046875,-0.1015625
batch_572,-0.171875,-0.1640625,-0.1640625
batch_573,-0.0625,-0.1484375,-0.09375
batch_574,-0.015625,-0.1171875,-0.109375
batch_575,-0.125,-0.125,-0.078125
batch_576,-0.1171875,-0.140625,-0.078125
batch_577,-0.09375,-0.140625,-0.0546875
batch_578,-0.1171875,0.0078125,-0.15625
batch_579,-0.109375,-0.125,-0.09375
batch_580,-0.1171875,-0.0625,-0.0390625
batch_581,0.015625,-0.140625,-0.15625
batch_582,-0.015625,-0.03125,-0.0390625
batch_583,0.078125,-0.0390625,-0.25
batch_584,0.0234375,0.015625,-0.0703125
batch_585,-0.0703125,0.0234375,0.0078125
batch_586,0.015625,0.0,-0.0234375
